day 1,day 2,day 3,,
9/5/2025,9/6/2025,9/7/2025,,
9/6/2024,9/7/2024,9/8/2024,,
9/8/2023,9/9/2023,9/10/2023,,
9/9/2022,9/10/2022,9/11/2022,,
9/10/2021,9/11/2021,9/12/2021,,
9/6/2019,9/7/2019,9/8/2019,,
9/7/2018,9/8/2018,9/9/2018,,
9/8/2017,9/9/2017,9/10/2017,,
9/9/2016,9/10/2016,9/11/2016,,
9/11/2015,9/12/2015,9/13/2015,,
9/5/2014,9/6/2014,9/7/2014,,
9/6/2013,9/7/2013,9/8/2013,, 
9/7/2012,9/8/2012,9/9/2012,,
9/9/2011,9/10/2011,9/11/2011,,
9/10/2010,9/11/2010,9/12/2010,,
9/11/2009,9/12/2009,9/13/2009,,
9/5/2008,9/6/2008,9/7/2008,,
