year,raceId,boatType,classId,place,value
2004,ADK90,Kayak,k2,1,13513
2011,ADK90,Canoe,voyageur,1,13789
2013,ADK90,Canoe,oc4open,1,13849
2022,ADK90,Canoe,oc4,1,14273.1
2024,ADK90,Kayak,k2,1,14446.4
2022,ADK90,Kayak,k1unlimitedopen,1,14482.6
2014,ADK90,Canoe,oc4open,1,14575
2017,ADK90,Kayak,k2,1,14594
2023,ADK90,Canoe,oc4mix,1,14619.1
2011,ADK90,Canoe,voyageur,2,14625
2024,ADK90,Canoe,oc4open,1,14669.2
2019,ADK90,Kayak,k1unlimited,1,14672
2024,ADK90,Canoe,oc4openmix,1,14680.4
2021,ADK90,Kayak,k4,1,14792
2008,ADK90,Canoe,voyageur,1,14814
2013,ADK90,Canoe,oc4open,2,14819
2022,ADK90,Canoe,oc4,2,14834.2
2016,ADK90,Kayak,k2,1,14836
2017,ADK90,Canoe,oc4open,1,14848
2011,ADK90,Canoe,oc4open,1,14863
2011,ADK90,Canoe,oc4open,2,14864
2021,ADK90,Canoe,oc4,1,14908
2021,ADK90,Canoe,oc4,2,14908
2023,ADK90,Kayak,k1unlimited,1,14934.1
2019,ADK90,Canoe,oc4open,1,14938
2019,ADK90,Canoe,oc4open,2,14994
2013,ADK90,Canoe,oc4mix,1,15096
2023,ADK90,Canoe,oc4mix,2,15096.5
2013,ADK90,Canoe,oc4open,3,15098
2004,ADK90,Kayak,k2,2,15103
2024,ADK90,Kayak,k1openmaster,1,15167.2
2014,ADK90,Canoe,oc4open,2,15169
2024,ADK90,Canoe,oc4open,3,15216
2024,ADK90,Canoe,oc4open,2,15221.5
2025,ADK90,Kayak,k2,1,15281.2
2012,ADK90,Canoe,oc4open,1,15293
2004,ADK90,Canoe,oc2am,1,15297
2004,ADK90,Canoe,oc2ammaster,1,15304
2017,ADK90,Canoe,oc4,1,15306
2011,ADK90,Canoe,voyageur,3,15343
2013,ADK90,Canoe,oc4open,4,15344
2023,ADK90,Canoe,oc4,1,15351.8
2023,ADK90,Kayak,k2,1,15352.4
2008,ADK90,Canoe,voyageur,2,15359
2014,ADK90,Canoe,oc4open,3,15366
2008,ADK90,Kayak,k1unlimited,1,15417
2017,ADK90,Canoe,oc4open,2,15418
2025,ADK90,Canoe,oc4open,1,15446.3
2012,ADK90,Canoe,oc4open,2,15450
2004,ADK90,Kayak,k2mix,1,15453
2013,ADK90,Canoe,oc4mix,3,15462
2013,ADK90,Canoe,oc4mix,2,15465
2013,ADK90,Canoe,oc4open,5,15467
2021,ADK90,Canoe,oc4,3,15476
2010,ADK90,Canoe,voyageur,1,15485
2002,ADK90,Kayak,k2,1,15494
2013,ADK90,Canoe,voyageur,1,15498
2023,ADK90,Unknown,voyageur,1,15502.8
2014,ADK90,Canoe,oc4,1,15506
2015,ADK90,Canoe,oc4open,1,15508
2014,ADK90,Canoe,oc4women,1,15509
2023,ADK90,Canoe,oc4mix,3,15518.9
2004,ADK90,Kayak,k1unlimitedmaster,1,15519
2021,ADK90,Canoe,oc4stockmixmaster,1,15529
2011,ADK90,Canoe,oc4,1,15536
2009,ADK90,Canoe,voyageur,1,15541
2024,ADK90,Canoe,oc4openmix,2,15570.7
2013,ADK90,Canoe,oc4mix,4,15574
2014,ADK90,Canoe,voyageur,1,15607
2004,ADK90,Unknown,voyageur,1,15607
2004,ADK90,Canoe,oc2am,2,15619
2021,ADK90,Canoe,oc4stock,2,15653
2003,ADK90,Kayak,k1unlimitedmaster,1,15685
2017,ADK90,Canoe,voyageur,1,15685
2011,ADK90,Canoe,oc4,2,15685
2014,ADK90,Canoe,voyageur,2,15688
2022,ADK90,Canoe,oc4,3,15695.6
2021,ADK90,Unknown,voyageur,1,15721
2021,ADK90,Canoe,oc4stock,1,15732
2010,ADK90,Canoe,open,NA,15746
2016,ADK90,Canoe,oc4open,1,15748
2016,ADK90,Canoe,oc4mix,1,15751
2019,ADK90,Kayak,k1unlimited,2,15764
2024,ADK90,Canoe,oc4open,4,15765.7
2009,ADK90,Canoe,voyageur,3,15784
2004,ADK90,Canoe,oc2am,4,15785
2004,ADK90,Canoe,oc2am,3,15789
2009,ADK90,Canoe,voyageur,2,15792
2004,ADK90,Canoe,oc2ammaster,2,15827
2016,ADK90,Canoe,oc4open,2,15834
2022,ADK90,Canoe,oc4,4,15854.4
2013,ADK90,Canoe,oc4mix,5,15859
2012,ADK90,Canoe,voyageur,1,15866
2004,ADK90,Canoe,oc4,1,15867
2013,ADK90,Canoe,oc4mix,6,15869
2025,ADK90,Canoe,oc4open,2,15876.3
2019,ADK90,Canoe,oc4open,3,15924
2025,ADK90,Canoe,oc4open,3,15956.6
2000,ADK90,Canoe,oc2rac,1,15964
2013,ADK90,Kayak,k1unlimited,1,15970
2015,ADK90,Canoe,oc4open,2,15992
2019,ADK90,Unknown,voyageur,1,15994
2014,ADK90,Canoe,oc4,2,15999
2004,ADK90,Canoe,oc2ammaster,4,16007
2010,ADK90,Canoe,oc4mix,1,16011
2017,ADK90,Canoe,oc4open,3,16017
2004,ADK90,Canoe,oc2am,5,16024
2011,ADK90,Canoe,oc4mix,1,16059
2004,ADK90,Canoe,oc1ammaster,1,16065
2008,ADK90,Kayak,k1unlimited,2,16066
2003,ADK90,Kayak,k2,1,16067
2011,ADK90,Kayak,k2,1,16071
2018,ADK90,Kayak,k1unlimited,1,16074
2011,ADK90,Kayak,k2,2,16081
2024,ADK90,Canoe,oc4openmix,3,16102.2
2011,ADK90,Canoe,oc4,3,16112
2016,ADK90,Canoe,voyageur,1,16112
2005,ADK90,Kayak,k2,1,16126
2025,ADK90,Canoe,oc4openmix,2,16127
2025,ADK90,Canoe,oc4openmix,1,16128.5
2013,ADK90,Canoe,oc4,1,16140
2004,ADK90,Canoe,oc2ammaster,3,16141
2014,ADK90,Kayak,k2mix,1,16153
2017,ADK90,Canoe,voyageur,2,16156
2000,ADK90,Kayak,k1,1,16156
2006,ADK90,Canoe,oc2ammix,1,16157
2006,ADK90,Canoe,oc2am,1,16162
2010,ADK90,Canoe,voyageur,2,16182
2010,ADK90,Canoe,voyageur,3,16183
2005,ADK90,Kayak,k1unlimited,1,16188
2013,ADK90,Canoe,oc4open,6,16191
2016,ADK90,Canoe,oc4mix,2,16193
2008,ADK90,Canoe,oc4mix,1,16200
2023,ADK90,Canoe,oc4mix,4,16201.3
2010,ADK90,Canoe,oc4,1,16205
2012,ADK90,Canoe,oc4,1,16214
2007,ADK90,Kayak,k2,1,16219
2024,ADK90,Unknown,voyageurmix,1,16233.6
2021,ADK90,Canoe,oc4stockmixmaster,2,16238
2015,ADK90,Canoe,oc4,1,16256
2007,ADK90,Canoe,voyageur,2,16270
2019,ADK90,Canoe,oc4stockmix,1,16271
2011,ADK90,Canoe,oc4mix,4,16272
2004,ADK90,Kayak,k1unlimited,1,16276
2013,ADK90,Canoe,oc4mix,7,16276
2008,ADK90,Canoe,voyageur,3,16276
2004,ADK90,Canoe,oc2ammix,1,16285
2004,ADK90,Canoe,oc2ammixmaster,1,16285
2011,ADK90,Canoe,oc2ammix,1,16287
2013,ADK90,Canoe,oc4,4,16289
2011,ADK90,Canoe,oc4mix,2,16293
2022,ADK90,Canoe,oc4,5,16298.4
2025,ADK90,Canoe,oc2openexhibmix,1,16299.6
2022,ADK90,Canoe,voyageur,1,16299.9
2009,ADK90,Canoe,oc2ammaster,1,16310
2013,ADK90,Canoe,oc4,3,16311
2014,ADK90,Canoe,oc4open,4,16328
2011,ADK90,Canoe,oc4mix,3,16343
2016,ADK90,Canoe,oc4open,3,16345
2004,ADK90,Unknown,voyageur,2,16350
2002,ADK90,Kayak,k2,2,16371
2009,ADK90,Canoe,oc2am,1,16376
2010,ADK90,Canoe,oc4,2,16376
2017,ADK90,Kayak,k2,2,16379
2006,ADK90,Canoe,oc2am,2,16381
2023,ADK90,Canoe,oc4stock,1,16391.6
2022,ADK90,Canoe,oc4,6,16403.1
2016,ADK90,Canoe,voyageur,2,16407
2015,ADK90,Canoe,voyageur,1,16424
2019,ADK90,Canoe,oc4stockmix,2,16424
2012,ADK90,Canoe,voyageur,2,16427
2003,ADK90,Kayak,k1unlimitedmaster,2,16433
2017,ADK90,Canoe,oc4,2,16435
2000,ADK90,Canoe,oc2rac,2,16437
2009,ADK90,Canoe,oc4,1,16454
2007,ADK90,Canoe,oc2am,1,16454
2011,ADK90,Canoe,oc4mix,6,16462
2011,ADK90,Canoe,oc2am,1,16472
2012,ADK90,Canoe,oc4open,3,16475
2015,ADK90,Canoe,oc4open,3,16477
2004,ADK90,Kayak,k1unlimitedmaster,2,16478
2014,ADK90,Canoe,oc4mix,2,16480
2004,ADK90,Canoe,oc2ammaster,5,16482
2022,ADK90,Canoe,oc4stock,1,16487.8
2025,ADK90,Canoe,oc4openmix,3,16493.3
2018,ADK90,Canoe,oc4open,1,16494
2010,ADK90,Kayak,k2master,2,16498
2011,ADK90,Canoe,oc4mix,7,16498
2008,ADK90,Canoe,oc4,1,16507
2004,ADK90,Canoe,oc2stdmaster,1,16515
2014,ADK90,Canoe,oc4,3,16527
2021,ADK90,Canoe,oc4stock,3,16530
2012,ADK90,Canoe,oc4mix,1,16538
2004,ADK90,Canoe,voyageur,3,16544
2004,ADK90,Canoe,oc2ammaster,6,16544
2008,ADK90,Canoe,oc4,2,16546
2010,ADK90,Canoe,oc4,3,16549
2008,ADK90,Canoe,voyageur,4,16549
2013,ADK90,Canoe,oc4,6,16551
2013,ADK90,Kayak,k2mix,1,16555
2022,ADK90,Kayak,k1unlimitedmaster,1,16562.3
2013,ADK90,Canoe,oc4,2,16564
2024,ADK90,Canoe,oc4stockmix,1,16570.7
2008,ADK90,Canoe,oc2am,1,16582
2008,ADK90,Canoe,oc2am,2,16582
2011,ADK90,Canoe,oc4open,3,16594
2013,ADK90,Kayak,k2mix,2,16605
2019,ADK90,Canoe,oc4stockmix,3,16609
2008,ADK90,Canoe,oc2ammaster,1,16610
2008,ADK90,Kayak,k2,1,16613
2013,ADK90,Canoe,oc4,7,16613
2012,ADK90,Canoe,oc4open,4,16622
2018,ADK90,Canoe,oc4open,2,16625
2013,ADK90,Canoe,oc4mix,8,16630
2011,ADK90,Canoe,voyageur,4,16632
2008,ADK90,Canoe,oc2ammaster,3,16636
2000,ADK90,Canoe,oc2racmaster,1,16639
2008,ADK90,Canoe,oc2ammixmaster,1,16646
2025,ADK90,Canoe,oc4open,4,16648.1
2023,ADK90,Canoe,oc4mix,5,16651.8
2022,ADK90,Canoe,oc2stockmixveteran,1,16665
2012,ADK90,Canoe,oc4mix,2,16673
2000,ADK90,Canoe,oc2rac,3,16676
2011,ADK90,Canoe,oc2am,3,16684
