year,raceId,boatType,classId,place,value,temp,rain,water
2011,ADK90,Canoe,voyageur,1,13789,62.9,0,7.28
2013,ADK90,Canoe,oc4open,1,13849,57.4,0.047,4.6
2022,ADK90,Canoe,oc4,1,14273.1,67.5,0,3.91
2024,ADK90,Kayak,k2,1,14446.4,59.6,0.768,4.26
2022,ADK90,Kayak,k1unlimitedopen,1,14482.6,67.5,0,3.91
2014,ADK90,Canoe,oc4open,1,14575,68.9,0.067,4.01
2017,ADK90,Kayak,k2,1,14594,52.8,0.02,5.46
2023,ADK90,Canoe,oc4mix,1,14619.1,65.2,0,5
2011,ADK90,Canoe,voyageur,2,14625,62.9,0,7.28
2024,ADK90,Canoe,oc4open,1,14669.2,59.6,0.768,4.26
2019,ADK90,Kayak,k1unlimited,1,14672,59.3,0.008,4.97
2024,ADK90,Canoe,oc4openmix,1,14680.4,59.6,0.768,4.26
2021,ADK90,Kayak,k4,1,14792,60,0,5.13
2008,ADK90,Canoe,voyageur,1,14814,70.2,0.323,4.58
2013,ADK90,Canoe,oc4open,2,14819,57.4,0.047,4.6
2022,ADK90,Canoe,oc4,2,14834.2,67.5,0,3.91
2016,ADK90,Kayak,k2,1,14836,69.6,0.004,3.19
2017,ADK90,Canoe,oc4open,1,14848,52.8,0.02,5.46
2011,ADK90,Canoe,oc4open,1,14863,62.9,0,7.28
2011,ADK90,Canoe,oc4open,2,14864,62.9,0,7.28
2021,ADK90,Canoe,oc4,1,14908,60,0,5.13
2021,ADK90,Canoe,oc4,2,14908,60,0,5.13
2023,ADK90,Kayak,k1unlimited,1,14934.1,65.2,0,5
2019,ADK90,Canoe,oc4open,1,14938,59.3,0.008,4.97
2019,ADK90,Canoe,oc4open,2,14994,59.3,0.008,4.97
2013,ADK90,Canoe,oc4mix,1,15096,57.4,0.047,4.6
2023,ADK90,Canoe,oc4mix,2,15096.5,65.2,0,5
2013,ADK90,Canoe,oc4open,3,15098,57.4,0.047,4.6
2024,ADK90,Kayak,k1openmaster,1,15167.2,59.6,0.768,4.26
2014,ADK90,Canoe,oc4open,2,15169,68.9,0.067,4.01
2024,ADK90,Canoe,oc4open,3,15216,59.6,0.768,4.26
2024,ADK90,Canoe,oc4open,2,15221.5,59.6,0.768,4.26
2025,ADK90,Kayak,k2,1,15281.2,60.5,0.134,3.08
2012,ADK90,Canoe,oc4open,1,15293,69.1,0.516,4.29
2017,ADK90,Canoe,oc4,1,15306,52.8,0.02,5.46
2011,ADK90,Canoe,voyageur,3,15343,62.9,0,7.28
2013,ADK90,Canoe,oc4open,4,15344,57.4,0.047,4.6
2023,ADK90,Canoe,oc4,1,15351.8,65.2,0,5
2023,ADK90,Kayak,k2,1,15352.4,65.2,0,5
2008,ADK90,Canoe,voyageur,2,15359,70.2,0.323,4.58
2014,ADK90,Canoe,oc4open,3,15366,68.9,0.067,4.01
2008,ADK90,Kayak,k1unlimited,1,15417,70.2,0.323,4.58
2017,ADK90,Canoe,oc4open,2,15418,52.8,0.02,5.46
2025,ADK90,Canoe,oc4open,1,15446.3,60.5,0.134,3.08
2012,ADK90,Canoe,oc4open,2,15450,69.1,0.516,4.29
2013,ADK90,Canoe,oc4mix,3,15462,57.4,0.047,4.6
2013,ADK90,Canoe,oc4mix,2,15465,57.4,0.047,4.6
2013,ADK90,Canoe,oc4open,5,15467,57.4,0.047,4.6
2021,ADK90,Canoe,oc4,3,15476,60,0,5.13
2010,ADK90,Canoe,voyageur,1,15485,58.4,0,3.89
2013,ADK90,Canoe,voyageur,1,15498,57.4,0.047,4.6
2023,ADK90,Unknown,voyageur,1,15502.8,65.2,0,5
2014,ADK90,Canoe,oc4,1,15506,68.9,0.067,4.01
2015,ADK90,Canoe,oc4open,1,15508,63,0.185,2.75
2014,ADK90,Canoe,oc4women,1,15509,68.9,0.067,4.01
2023,ADK90,Canoe,oc4mix,3,15518.9,65.2,0,5
2021,ADK90,Canoe,oc4stockmixmaster,1,15529,60,0,5.13
2011,ADK90,Canoe,oc4,1,15536,62.9,0,7.28
2009,ADK90,Canoe,voyageur,1,15541,60,0.185,4.03
2024,ADK90,Canoe,oc4openmix,2,15570.7,59.6,0.768,4.26
2013,ADK90,Canoe,oc4mix,4,15574,57.4,0.047,4.6
2014,ADK90,Canoe,voyageur,1,15607,68.9,0.067,4.01
2021,ADK90,Canoe,oc4stock,2,15653,60,0,5.13
2017,ADK90,Canoe,voyageur,1,15685,52.8,0.02,5.46
2011,ADK90,Canoe,oc4,2,15685,62.9,0,7.28
2014,ADK90,Canoe,voyageur,2,15688,68.9,0.067,4.01
2022,ADK90,Canoe,oc4,3,15695.6,67.5,0,3.91
2021,ADK90,Unknown,voyageur,1,15721,60,0,5.13
2021,ADK90,Canoe,oc4stock,1,15732,60,0,5.13
2010,ADK90,Canoe,open,NA,15746,58.4,0,3.89
